nest,site,trt,layorder,removed,year,date,clutch_size,tray_entered,supp_days,num_supp_day,time,length,width,mass
M30-21,N,C,6,Y,2021,6/10/21,6,,,,10:45,16.85,12.83,1.46
C18,U,C,1,Y,2021,5/17/21,6,,,,9:52,16.30,12.00,1.27
C18,U,C,2,N,2021,5/18/21,6,,,,12:38,17.40,12.25,1.41
C18,U,C,3,Y,2021,5/19/21,6,,,,10:11,17.50,12.50,1.45
C18,U,C,4,N,2021,5/20/21,6,,,,11:24,17.40,12.60,1.44
C18,U,C,5,Y,2021,5/21/21,6,,,,9:26,17.00,12.30,1.36
C18,U,C,6,N,2021,5/22/21,6,,,,11:17,17.20,12.35,1.40
C19-21,U,T,1,N,2021,6/23/21,6,6/21/21,3,3,9:20,16.65,12.20,1.31
C19-21,U,T,2,Y,2021,6/24/21,6,6/21/21,4,3,9:45,16.10,12.45,1.31
C19-21,U,T,3,N,2021,6/25/21,6,6/21/21,5,3,12:00,16.00,12.53,1.33
C19-21,U,T,4,Y,2021,6/26/21,6,6/21/21,6,3,13:12,16.15,12.45,1.40
C19-21,U,T,5,N,2021,6/27/21,6,6/21/21,7,3,13:57,16.00,12.40,1.33
C19-21,U,T,6,Y,2021,6/28/21,6,6/21/21,8,3,10:38,15.95,12.50,1.34
M11-22,N,C,1,N,2022,6/1/2022,6,,,,14:07,16.45,12.10,1.29
M11-22,N,C,2,Y,2022,6/2/2022,6,,,,12:52,16.03,12.15,1.25
M11-22,N,C,3,N,2022,6/3/2022,6,,,,10:39,16.15,12.30,1.26
M11-22,N,C,4,Y,2022,6/4/2022,6,,,,10:45,16.25,12.30,1.31
M11-22,N,C,5,N,2022,6/5/2022,6,,,,11:38,16.27,12.30,1.31
M11-22,N,C,6,Y,2022,6/6/2022,6,,,,15:13,16.10,11.95,1.26
M28,N,C,1,N,2022,6/6/2022,6,,,,15:45,15.40,12.05,1.21
M28,N,C,2,Y,2022,6/7/2022,6,,,,12:55,15.21,12.30,1.31
M28,N,C,3,N,2022,6/8/2022,6,,,,10:49,15.85,12.35,1.33
M28,N,C,4,Y,2022,6/9/2022,6,,,,11:02,16.00,12.63,1.35
M28,N,C,5,N,2022,6/10/2022,6,,,,9:34,16.07,12.55,1.34
M28,N,C,6,Y,2022,6/11/2022,6,,,,10:52,16.33,12.75,1.44
