Sample,nest,site,trt,layorder,year,date,time,plate,plate_T4,clutch_size,egg_mass,yolk_mass,cort,test,t4
112,A71,R,T,6,2020,5/17/20,8:48,4,2,7,1.27,0.3258,3.3,5.456,1.417
113,A87,R,C,1,2020,6/13/20,9:54,4,2,7,1.4,0.219,4.518,10.325,0.693
114,M34-20,N,T,2,2020,5/9/20,11:28,4,2,9,1.07,0.2726,4.912,10.438,2.025
115,C22B,U,C,6,2022,5/29/22,9:27,4,2,7,1.44,0.2677,4.737,10.947,1.087
116,M8-21,N,C,5,2021,5/14/21,10:45,4,2,7,1.4223,0.2659,3.956,2.915,4.34
117,M10-20,N,C,1,2020,6/6/20,10:42,4,2,5,1.24,0.2293,5.569,4.811,2.109
118,M17-22,N,C,1,2022,5/3/22,9:12,4,2,8,1.52,0.2978,4.433,10.396,0.801
119,M12,N,T,6,2020,5/20/20,12:14,4,2,7,1.55,0.3094,3.536,2.615,1.11
120,C19-21,U,T,2,2021,6/24/21,9:45,4,2,6,1.314,0.3291,2.737,7.011,0.407
121,C23-22,U,T,2,2022,6/25/22,10:27,4,2,4,1.3777,0.285,4.323,6.408,0.792
122,M35-22,N,T,5,2022,6/1/22,11:08,4,2,6,1.3569,0.2782,4.975,5.781,4.188
123,C33-20,U,C,5,2020,5/11/20,11:20,4,2,7,1.27,0.2255,6.226,6.585,1.592
124,M4-21,N,C,5,2021,5/30/21,9:15,4,2,7,1.45,0.2898,2.795,4.362,4.092
125,M32-20,N,C,2,2020,5/13/20,12:19,4,2,7,1.19,0.2335,4.102,3.998,6.445
126,A71,R,T,3,2020,5/14/20,11:20,4,2,7,1.31,0.2984,4.554,6.724,0.211
127,M20-20,N,C,1,2020,5/3/20,11:40,4,2,8,1,0.2712,5.103,6.454,4.218
128,A92B,R,T,5,2022,6/24/22,14:13,4,3,5,1.3411,0.3158,2.842,5.394,1.813
129,F2,R,C,4,2020,6/16/20,11:00,4,3,5,1.53,0.2861,3.782,5.664,3.548
130,C21,U,C,6,2020,5/19/20,11:48,4,3,7,1.32,0.2251,6.082,8.637,0.731
131,A98,R,T,4,2020,5/13/20,10:36,4,3,8,1.41,0.2879,4.616,4.695,1.46
132,M22,N,T,6,2020,5/17/20,9:30,4,3,6,1.46,0.263,5.681,4.448,5.814
133,M26-20,N,T,3,2020,5/10/20,11:35,4,3,7,1.29,0.3036,5.165,4.453,3.818
134,A92-20,R,C,5,2020,5/29/20,10:01,4,3,8,1.39,0.2583,5.416,12.044,2.354
135,C33-22,U,C,4,2022,5/22/22,14:35,4,3,8,1.4877,0.2641,4.218,7.294,2.341
136,M15-20,N,C,2,2020,5/6/20,10:26,4,3,7,1.34,0.2695,2.247,5.594,6.701
137,M8-22,N,C,4,2022,5/11/22,7:51,4,3,7,1.3149,0.2653,3.031,8.523,4.169
138,A98,R,T,2,2020,5/11/20,14:51,4,3,8,1.23,0.2598,5.327,1.903,0.435
139,M24-22,N,T,2,2022,5/25/22,9:00,4,3,7,1.4748,0.3177,3.661,4.727,3.059
140,M10-22,N,C,3,2022,6/13/22,11:04,4,3,5,1.5235,0.3169,4.595,4.462,5.447
141,C19-22,U,T,2,2022,5/13/22,12:17,4,3,8,1.2203,0.301,3.114,5.027,1.911
142,M26-22,N,T,6,2022,6/11/22,10:44,4,3,7,1.4938,0.3016,4.864,6.548,2.365
143,M4-20,N,C,1,2020,5/9/20,10:57,4,3,,1.44,0.2844,5.274,8.113,7.036
144,M9,N,C,4,2020,5/6/20,10:38,4,3,7,1.51,0.3134,3.724,7.512,1.354
145,M14,N,T,6,2020,5/13/20,12:39,4,3,7,1.49,0.3081,4.314,7.339,2.825
146,A84,R,T,1,2021,7/4/21,9:58,4,3,5,1.484,0.3105,3.314,5.121,0.501
147,C35,U,T,2,2020,5/17/20,10:46,4,3,7,1.28,0.3387,4.314,4.221,1.43
148,M7,N,T,1,2020,5/8/20,9:21,4,3,7,1.22,0.2702,3.879,5.952,5.148
149,M11-21,N,T,1,2021,5/14/21,10:36,4,3,8,1.1831,0.3098,4.893,8.957,6.798
150,M15-22,N,T,5,2022,5/8/22,12:52,4,3,7,1.486,0.2889,4.42,5.082,2.412
151,F5,R,C,6,2020,5/15/20,9:23,4,3,9,1.62,0.2721,4.414,10.413,1.201
152,A69-20,R,C,2,2020,5/23/20,9:28,4,3,,1.47,0.2715,5.042,7.781,1.387
153,M27,N,C,1,2020,6/1/20,12:36,4,3,6,1.48,0.3268,3.47,3.868,1.587
154,C23-20,U,C,4,2020,6/22/20,9:07,4,3,6,1.36,0.2362,6.888,15.051,1.122
155,M34-22,N,C,2,2022,6/25/22,13:28,4,3,6,1.3817,0.2951,2.865,5.977,2.487
156,M26-20,N,T,5,2020,5/12/20,11:55,4,3,7,1.32,0.2602,4.908,6.7,2.181
