sample_ID,nest,site,trt,ID,date ,year,time,brood_size,bleed_time,plate,cort,mass
48,M35-21,N,T,7618,6/25/21,2021,9:12,4,135,2,1.4886,10.87
49,C19-22,U,T,7664,6/13/22,2022,9:04,3,110,2,1.1816,10.51
50,M17-22,N,C,7656,6/6/22,2022,10:45,2,71,2,3.718,10.63
51,C23-20,U,C,7586,7/19/20,2020,9:17,3,150,2,7.14,9.25
52,A92b,R,T,7695,7/17/22,2022,9:28,4,105,2,2.132,10.12
53,M11-22,N,C,7679,7/1/22,2022,9:20,3,150,2,1.1524,10.74
54,M12,N,T,7532,6/15/20,2020,9:17,4,180,2,0.5676,10.43
55,C24,U,T,7554,6/20/20,2020,9:00,3,172,2,3.692,10.06
56,M22,N,T,7512,6/11/20,2020,10:36,1,73,2,0.4728,10.04
57,C19-20,U,C,7574,7/7/20,2020,9:24,2,180,2,3.772,8.76
58,M10-22,N,C,7689,7/9/22,2022,9:20,2,127,2,0.05316,10.33
59,M24-20,N,T,7896,6/7/20,2020,9:16,3,180,2,1.7714,10.09
60,C19-22,U,T,7665,6/13/22,2022,9:04,3,90,2,1.1964,9.92
61,M32-22,N,T,47004,7/21/22,2022,9:47,3,180,2,0.7418,9.89
62,A92b,R,T,7697,7/17/22,2022,9:28,4,91,2,0.6286,10.66
63,M11-21,N,T,7600,6/14/21,2021,9:21,4,130,2,0.8066,9.61
64,M34-20,N,T,7524,6/11/20,2020,10:09,7,200,2,4.606,9.3
65,C19-21,U,T,7637,7/22/21,2021,9:15,3,163,2,1.4252,10
66,M19,N,C,7568,7/5/20,2020,9:24,2,200,2,0.7804,9.71
67,M15,N,C,7895,6/6/20,2020,10:01,4,191,2,2.306,9.75
68,M4,N,C,7621,6/26/21,2021,9:12,3,165,2,2.208,9.67
69,C22,U,T,7505,6/9/20,2020,9:24,3,105,2,1.3166,10
70,M34-20,N,T,7521,6/11/20,2020,10:09,7,208,2,5.88,9.32
71,M20-22,N,T,7653,6/4/22,2022,9:20,3,154,2,2.782,10.03
72,M3b,N,T,7694,7/15/22,2022,9:10,2,300,2,3.64,9.59
73,M8-22,N,C,7661,6/8/22,2022,10:17,2,135,2,4.392,9.93
74,M4,N,C,7622,6/26/21,2021,9:12,3,165,2,2.324,10.32
75,C19b,U,C,7645,7/18/22,2022,9:10,4,240,2,9.01,9.51
76,M11-22,N,C,7681,7/1/22,2022,9:20,3,172,2,1.6192,10.54
77,A92,R,C,7658,6/7/22,2022,10:25,3,205,2,9.128,9.45
78,M34-20,N,T,7523,6/11/20,2020,10:09,7,67,2,6.608,9.62
79,M24-22,N,T,7673,6/24/22,2022,9:54,3,119,2,1.686,11.39
80,A69,R,T,7625,7/4/21,2021,9:30,3,240,2,0.7546,10.42
81,M20-20,N,C,7891,6/6/20,2020,9:37,4,157,2,2.286,10.41
82,C23-21,U,T,7627,7/8/21,2021,9:10,4,120,2,0.3044,10.7
83,M8-21,N,C,7596,6/10/21,2021,9:28,3,214,2,2.568,10.85
84,M12,N,T,7531,6/15/20,2020,9:17,4,66,2,0.7418,10.96
85,M34-20,N,T,7520,6/11/20,2020,10:09,7,131,2,6.914,9.7
86,M27,N,C,7560,6/30/20,2020,10:43,2,167,2,2.286,10.25
87,A69,R,T,7626,7/4/21,2021,9:30,3,162,2,2.02,10.55
88,M11-21,N,T,7599,6/14/21,2021,9:21,4,102,2,0.8328,9.69
89,M32-20,N,C,7562,7/3/20,2020,10:42,3,150,2,1.894,10.36
90,C21,U,C,7526,6/15/20,2020,10:58,3,49,2,9.188,9.2
91,M26,N,T,7683,7/5/22,2022,9:18,3,200,2,2.87,11.03
92,M34-20,N,T,7525,6/11/20,2020,10:09,7,75,2,0.017844,10.11
93,A49,R,C,7604,6/14/21,2021,10:17,2,180,2,6.566,9.9
94,M16,N,T,7610,6/19/21,2021,9:19,3,180,2,0.07158,9.64
95,M3-22,N,C,7649,6/3/22,2022,10:10,5,193,2,0.3152,10.44
96,M17-21,N,C,7592,6/10/21,2021,9:01,3,92,2,4.892,9.8
97,M4,N,C,7623,6/26/21,2021,9:12,3,170,2,0.4962,10.82
98,M12,N,T,7533,6/15/20,2020,9:17,4,313,2,4.13,10.45
99,C19-21,U,T,7635,7/22/21,2021,9:15,3,150,2,0.9542,10
100,M27,N,C,7559,6/30/20,2020,10:43,2,180,2,0.009506,9.5
101,A92b,R,T,7696,7/17/22,2022,9:28,4,346,2,5.366,9.74
102,M18,N,C,7884,6/4/20,2020,9:57,4,180,2,2.632,11.08
103,M24-22,N,T,7672,6/24/22,2022,9:54,3,170,3,3.884,11.25
104,C18,U,C,7607,6/18/21,2021,9:14,2,112,3,1.9228,8.43
105,M32-20,N,C,7563,7/3/20,2020,10:42,3,180,3,4.994,10.54
106,M3-22,N,C,7648,6/3/22,2022,10:10,5,153,3,2.736,11.05
107,M15,N,C,7893,6/6/20,2020,10:01,4,127,3,1.095,9.9
108,M30,N,T,7536,6/15/20,2020,9:55,5,173,3,0.7956,9.65
109,C19b,U,C,47007,7/18/22,2022,9:10,4,137,3,6.482,9.19
110,C18,U,C,7608,6/18/21,2021,9:14,2,150,3,0.581,7.9
111,M35-21,N,T,7616,6/25/21,2021,9:12,4,120,3,4.5,10.75
112,C23-22,U,T,47005,7/22/22,2022,9:07,2,180,3,3.938,10.71
113,M34-20,N,T,7522,6/11/20,2020,10:09,7,50,3,1.2202,9.36
114,A49,R,C,7605,6/14/21,2021,10:17,2,165,3,2.694,9.78
115,M3-20,N,T,7514,6/11/20,2020,10:51,2,70,3,6.36,9.66
116,M17-21,N,C,7591,6/10/21,2021,9:01,3,180,3,0.9094,10.04
117,M28-22,N,C,7685,7/5/22,2022,9:30,3,180,3,1.6414,10.66
118,M28-20,N,T,7542,6/16/20,2020,9:16,6,90,3,1.6896,10.25
119,M9,N,C,7880,6/2/20,2020,9:53,3,126,3,2.358,9.86
120,M19,N,C,7569,7/5/20,2020,9:24,2,167,3,0.5468,9.5
121,C24,U,T,7555,6/20/20,2020,9:00,3,120,3,3.992,9.5
