nest,site,trt,year,clutch_size,hatch_brood_size,fledge_brood_size,date_first_egg,date_hatch,date_fledge,tray_entered,num_supp_day,notes
M8-20,N,T,2020,5,2,2,6/17/20,7/5/20,7/16/20,6/15/20,3,
M9,N,C,2020,7,3,3,5/3/20,5/21/20,6/2/20,,,
A102,R,T,2020,7,1,,5/24/20,6/13/20,,5/12/20,13,
A69-20,R,C,2020,3,,,5/22/20,,,,,predated before finished laying
A71,R,T,2020,7,,,5/12/20,,,5/5/23,8,
A74,R,C,2020,7,4,,5/25/20,6/14/20,,,,
A87,R,C,2020,7,3,3,6/13/20,7/3/20,7/14/20,,,
A90,R,C,2020,8,,,5/2/20,,,,,
A92-20,R,C,2020,8,,,5/25/20,,,,,
A94,R,C,2020,6,,,5/12/20,,,,,
A95,R,T,2020,7,,,5/8/20,,,5/3/23,8,
A98,R,T,2020,8,,,5/10/20,,,5/8/23,3,
F2,R,C,2020,5,,,6/15/20,,,,,
F5,R,C,2020,9,5,,5/10/20,6/1/20,,,,
C19-20,U,C,2020,7,2,2,6/6/20,6/26/20,7/7/20,,,
C21,U,C,2020,7,3,3,5/14/20,6/4/20,6/15/20,,,
C22,U,T,2020,9,3,3,5/5/20,5/28/20,6/9/20,4/28/20,8,
C23-20,U,C,2020,6,3,3,6/19/20,7/8/20,7/19/20,,,
C24,U,T,2020,7,3,3,5/19/20,6/9/20,6/20/20,5/10/20,10,
C33-20,U,C,2020,7,4,0,5/7/20,5/27/20,6/4/20,,,
C35,U,T,2020,7,3,3,5/16/20,6/6/20,6/17/20,5/6/20,11,
M11-21,N,T,2021,8,5,4,5/14/21,6/3/21,6/14/21,5/5/21,10,
M16,N,T,2021,7,3,3,5/20/21,6/8/21,6/19/21,5/13/21,8,
M17-21,N,C,2021,7,3,3,5/10/21,5/30/21,6/10/21,,,
M30-21,N,C,2021,6,,,6/6/21,,,,,
M35-21,N,T,2021,7,4,4,5/26/21,6/14/21,6/25/21,5/23/21,4,
M4,N,C,2021,7,4,3,5/26/21,6/15/21,6/26/21,,,
M8-21,N,C,2021,7,3,3,5/10/21,5/30/21,6/10/21,,,
A49,R,C,2021,8,2,2,5/13/21,6/3/21,6/14/21,,,
A69,R,T,2021,7,4,3,6/6/21,6/24/21,7/4/21,5/25/21,13,
A84,R,T,2021,5,2,2,7/4/21,7/21/21,8/1/21,7/1/21,4,
A93,R,T,2021,9,2,2,6/14/21,7/6/21,7/17/21,6/7/21,8,
C16,U,C,2021,5,2,2,7/2/21,7/21/21,8/1/21,,,
C18,U,C,2021,6,2,2,5/17/21,6/7/21,6/18/21,,,
C19-21,U,T,2021,6,3,3,6/23/21,7/11/21,7/22/21,6/21/21,3,
C23-21,U,T,2021,7,4,4,6/7/21,6/27/21,7/8/21,6/3/21,5,
M10-22,N,C,2022,5,2,2,6/11/2022,6/28/2022,7/9/2022,,,
M11-22,N,C,2022,6,3,3,6/1/2022,6/20/2022,7/1/2022,,,
M15-22,N,T,2022,7,,,5/4/2022,,,4/29/2022,6,
M17-22,N,C,2022,8,2,2,5/3/2022,5/26/2022,6/6/2022,,,
M20-22,N,T,2022,7,3,3,5/2/2022,5/24/2022,6/4/2022,4/29/2022,4,
M24-22,N,T,2022,7,4,3,5/24/2022,6/13/2022,6/24/2022,5/22/2022,3,
M26,N,T,2022,7,3,3,6/6/2022,6/24/2022,7/5/2022,6/6/2022,1,
M28-22,N,C,2022,6,3,3,6/6/2022,6/24/2022,7/5/2022,,,
M3-22,N,C,2022,8,5,5,5/1/2022,5/23/2022,6/3/2022,,,
M32-22,N,T,2022,5,3,3,6/23/2022,7/10/2022,7/21/2022,6/21/2022,3,
M34-22,N,C,2022,6,3,3,6/24/2022,7/12/2022,7/23/2022,,,
M34A,N,C,2022,2,,,6/11/2022,,,,,predated before finished laying
M35-22,N,T,2022,6,2,2,5/28/2022,6/16/2022,6/27/2022,5/27/2022,2,
M3b,N,T,2022,6,2,2,6/15/2022,7/4/2022,7/15/2022,6/13/2022,3,
M8-22,N,C,2022,7,2,2,5/8/2022,5/28/2022,6/8/2022,,,
A92,R,C,2022,7,3,3,5/6/2022,5/27/2022,6/7/2022,,,
A92b,R,T,2022,5,4,4,6/24/2022,7/6/2022,7/17/2022,6/23/2022,2,
C19-22,U,T,2022,8,3,3,5/12/2022,6/2/2022,6/13/2022,5/8/2022,5,
C19b,U,C,2022,6,4,4,6/19/22,7/7/2022,7/18/2022,,,
C22-22,U,C,2022,2,,,5/11/2022,,,,,predated before finished laying
C22B,U,C,2022,7,,,5/23/2022,,,,,
C23-22,U,T,2022,4,2,2,6/24/2022,7/12/2022,7/22/2022,6/24/2022,1,?
C33-22,U,C,2022,8,2,2,5/19/2022,6/10/2022,6/21/2022,,,
